Image name;Acanthastrea;Acanthastrea_echinata;Acropora;Acropora_abrotanoides;Acropora_branching;Acropora_digitifera;Acropora_Robusta;Acropora_tabulate;Astrea;Astreopora;Astreopora_myriophthalma;Astreopora_ocellata;Bleaching;Coscinaraea;Cyphastrea;Dipsastraea;Dipsastraea_matthai;Echinopora;Favites;Favites_complanata;Favites_pentagona;Galaxea;Goniastrea;Goniastrea_stelligera;Gonistrea_pectinata;Hard_coral;Hydnophora;Leptastrea;Leptastrea_purpurea;Montipora;Paramontastraea_peresi;Pavona_venosa;Platygyra;Platygyra_pini;Plesiastrea_versipora;Pocillopora;Pocillopora_grandis_eydouxi;Pocillopora_meandrina;Pocillopora_verrucosa;Porites_branching;Porites_massive;Porites_rus;Psammocora;Psammocora_profundacella;Stylocoeniella;Turbinaria_coral;Turbinaria_irregularis;Cladiella;Echinostrephus_molaris;Lobophytum;Millepora;Molluscs;Sarcophyton;Soft_Coral;Sand;Dead_coral;Hard_Substrate;UNAV;Cyanobacteria;Foraminifera;Unknown;CCA;Dictyosphaeria;Green_turfing_algae;Halimeda;Liagora;Neomeris;Padina;Turbinaria_algae;Turf_algae;Turf_and_sand;Ulva
RUNTRANS1C_13.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,111;16,667;2,778;0;0;0;0;0;0;25;33,333;0
RUNTRANS1C_14.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,444;8,333;0;0;0;0;0;0;2,778;66,667;0
RUNTRANS1C_15.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61,111;5,556;0;0;0;0;0;0;25;8,333;0
RUNTRANS1C_16.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;41,667;0;0;0;0;0;0;0;16,667;27,778;0
RUNTRANS1C_17.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;2,778;8,333;2,778;0;0;0;0;0;0;0;80,556;0
RUNTRANS1C_18.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;2,778;0;0;0;0;0;0;0;94,444;0
RUNTRANS1C_19.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;13,889;2,778;0;0;0;0;0;0;11,111;69,444;0
RUNTRANS1C_20.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;22,222;0;0;0;0;0;0;0;0;0;0;0;0;5,556;19,444;5,556;0;0;0;0;0;0;27,778;16,667;0
RUNTRANS2A_01.jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;2,778;0;0;2,778;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;5,556;22,222;0;0;0;0;0;0;0;8,333;50;0
RUNTRANS2A_02.jpg;0;0;0;8,333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;8,333;8,333;0;0;0;0;0;0;0;19,444;44,444;0
RUNTRANS2A_03.jpg;0;0;0;0;0;0;0;0;0;0;11,111;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,444;0;0;0;0;0;0;0;2,778;30,556;0
RUNTRANS2A_04.jpg;0;0;0;0;0;0;0;0;0;2,778;41,667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;0;0;0;0;2,778;8,333;0;0;0;2,778;0;0;0;2,778;30,556;0
RUNTRANS2A_05.jpg;0;0;0;0;0;0;0;0;0;2,778;22,222;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,111;0;8,333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;2,778;0;0;8,333;0;0;0;8,333;0;0;0;8,333;19,444;0
RUNTRANS2A_06.jpg;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;0;0;0;0;0;2,778;0;2,778;0;0;0;2,778;0;0;0;0;0;0;0;38,889;0;0;0;0;0;0;0;16,667;27,778;0
