Transect;Station;Name;Acanthastrea;Acropora;Astrea;Astreopora;Coscinarea;Cyphastrea;Dipsatrea;Favites;Galaxea;Goniastrea;Other Hard Coral;Leptastrea;Montipora;Paramontastrea;Pavona;Platygyra;Pocillopora;Porites;Psammocora;Cladiella;Echinostrephus;Lobophytum;Millepora;Molluscs;Sarcophytum;Other Soft Corals;Sand;Dead Corals;Cyanobacteria;CCA;Dictyosphaeria;Halimeda;Amphiroa;Neomeris;Padina;Turbinaria;Turf;Turf_sand;Ulva
C;1;RUNTRANS1C_19,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,28586122;2,85737796;0;0;0;0;0;11,42848327;71,42827755;0
C;1;RUNTRANS1C_20,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941394462;0;0;23,52903806;0;0;0;0;0;0;0;0;0;20,5876436;5,882788925;0;0;0;0;0;29,41182699;17,64730796;0
A;2;RUNTRANS2A_01,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941394462;2,941394462;2,941394462;0;0;0;0;0;5,882788925;0;0;0;0;23,52903806;0;0;0;0;0;0;8,82312457;52,94086505;0
A;2;RUNTRANS2A_02,jpg;0;9,090611568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,06113499;0;0;0;0;0;0;0;0;0;6,06113499;0;0;9,090611568;0;0;0;0;0;0;21,21179063;48,48471625;0
A;2;RUNTRANS2A_03,jpg;0;0;0;11,11111111;0;0;0;0;0;0;0;0;0;0;0;0;33,33333333;0;0;0;0;0;0;0;0;0;0;0;0;19,44419444;0;0;0;0;0;0;2,77802778;33,33333333;0
A;2;RUNTRANS2A_04,jpg;0;0;0;42,85714286;0;0;0;0;0;0;2,85734857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,571017146;0;8,571017146;0;0;2,85734857;0;0;0;2,85734857;31,42877714;0
A;2;RUNTRANS2A_05,jpg;0;0;0;22,85720163;0;0;2,85740735;0;0;0;0;0;0;0;0;0;19,99979428;0;0;0;0;0;0;0;0;0;0;0;2,85740735;14,28600817;0;0;8,571193466;0;0;0;8,571193466;19,99979428;0
A;2;RUNTRANS2A_06,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;0;0;5,555944441;0;0;0;0;0;0;0;0;0;44,44355556;0;0;0;0;0;0;16,66683333;27,77772222;0
A;2;RUNTRANS2A_07,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,030534434;0;0;3,030534434;0;0;0;0;0;0;0;0;0;36,3631405;0;0;0;0;0;0;0;57,57579063;0
A;2;RUNTRANS2A_08,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,714755919;0;0;0;0;0;0;0;0;0;0;0;0;8,571105305;0;0;0;0;0;0;11,42848327;74,28565551;0
A;2;RUNTRANS2A_09,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,71469714;5,71469714;0;0;0;0;0;0;0;0;11,42836572;0;0;2,85734857;0;0;0;0;0;0;0;74,28489144;0
