"","Acanthastrea","Acropora","Astrea","Astreopora","CCA","Cladiella","Coscinaraea","Cyanobacteria","Cyphastrea","Dead_coral","Dictyosphaeria","Dipsastraea","Echinopora","Echinostrephus_molaris","Favites","Foraminifera","Galaxea","Goniastrea","Green_turfing_algae","Halimeda","Hard_coral","Hard_Substrate","Hydnophora","Leptastrea","Liagora","Lobophytum","Millepora","Molluscs","Montipora","Neomeris","Padina","Paramontastrea","Pavona","Platygyra","Plesiastrea","Pocillopora","Porites","Psammocora","Sand","Sarcophyton","Soft_Coral","Stylocoeniella","Turbinaria","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"2B_15",0,0,0,0,18.7501406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2504219,0,0,0,0,0,0,0,0,0,0,0.7813027,5.2083099,0,0,0,0,0,0,0,37.4991563,18.7501406,0
"2B_16",0,1.1765453,0,0,17.6471211,0,0,11.7643945,0,0,0,0,0,2.9413633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4117803,0.9804544,0,0,0,0,0,0,0,14.7057578,26.4701523,0
"2B_17",0,0,0,0,19.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,2.08325,0,0,0,0,0,0,0,0,13.889,55.556,0
"2B_18",0,0,0,0,28.5714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5710171,0,0,0,0,0,0,0,0,0,0,0,0.9524495,0,5.7146971,0,0,0,0,0,5.7146971,48.5708114,0
"2B_19",0,0,0,0,44.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08325,0,0,2.778,0,0,0,0,0,2.778,41.667,0
"2B_20",0,0,0,0,19.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,6.25,0,0,5.556,0,0,0,0,0,8.333,38.889,0
"2C_01",0,0,0,0,19.999383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428674,0,0,0,0,0,0,0,0,17.143063,57.142857,0
"2C_02",0,0,0,0,44.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16675,0,0,0,0,0,0,0,0,0,38.889,0
"2C_03",0,0,0,0,33.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44419,47.22247,0
"2C_04",0,0,0,0.9259907,30.5556944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1108889,52.7774722,2.7779722
"2C_05",0,0,0,0,38.2349516,0,0,2.9413945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9413945,0,0,0,0,0,0,0,0,0,0,0.7353486,0,0,0,0,0,0,0,0,11.764519,41.176346,0
"2C_06",0,0,0,0,37.1424457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9524495,0,0,0,0,0,0,0,28.5714286,31.4287771,0
"2C_07",0,0,0,1.96093,14.705913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.470697,3.921506,0,8.823125,0,0,0,0,0,5.882789,47.058076,0
"2C_08",0,0,0,0,30.555694,0,0,0,0,2.777972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777972,0,0,0,0,0,0,0,0,0,0,2.083229,4.62962,0,0,0,0,0,0,0,5.555944,36.110639,0
"2C_09",0,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,83.333,0
"2C_10",0,0,0,0.926,19.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,75,0
"2C_11",1.3889722,0,0,1.851963,8.3328333,0,0,2.7779444,0,0,0,1.3889722,0,0,0,0,0,0,0,0,0,0,0,0,8.3328333,0,0,0,0,0,0,0,0,0,0,1.3889722,0.9259815,0,5.5558889,0,0,0,0,0,16.6666667,38.8882222,0
"2C_12",0,0,0,0.926,11.111,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77775,0,0,0,0,0,0,0,0,13.889,58.333,0
"2C_13",0,0,2.778,0,16.667,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,12.037,0,0,0,0,0,0,0,0,33.333,0
