"","Acanthastrea","Acanthastrea_echinata","Acropora","Acropora_abrotanoides","Acropora_branching","Acropora_digitifera","Acropora_Robusta","Astrea","Astreopora","Astreopora_myriophthalma","Astreopora_ocellata","Coscinaraea","Cyphastrea","Dipsastraea","Dipsastraea_matthai","Echinopora","Favites","Favites_pentagona","Galaxea","Goniastrea","Goniastrea_stelligera","Gonistrea_pectinata","Hard_coral","Hydnophora","Leptastrea","Leptastrea_purpurea","Montipora","Paramontastraea_peresi","Pavona_venosa","Platygyra","Platygyra_pini","Plesiastrea_versipora","Pocillopora","Pocillopora_grandis_eydouxi","Pocillopora_meandrina","Pocillopora_verrucosa","Porites_branching","Porites_massive","Porites_rus","Psammocora","Psammocora_profundacella","Stylocoeniella","Turbinaria_coral","Turbinaria_irregularis","Cladiella","Echinostrephus_molaris","Lobophytum","Millepora","Molluscs","Sarcophyton","Soft_Coral","Sand","Dead_coral","Hard_Substrate","Cyanobacteria","Foraminifera","CCA","Dictyosphaeria","Green_turfing_algae","Halimeda","Liagora","Neomeris","Padina","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"1C_08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,97.222,0
"1C_09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"1C_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55594444055559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7779722202778,2.7779722202778,0,0,0,0,0,0,0,88.8881111188888,0
"1C_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4284832651046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4284832651046,2.85737795972105,0,0,0,0,0,0,0,74.2856555100697,0
"1C_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,97.222,0
"1C_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4998593751758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7503515620605,3.12524609344238,0,0,0,0,0,0,28.1249648437939,37.4995781255273,0
"1C_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.444,8.333,0,0,0,0,0,0,2.778,66.667,0
"1C_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.111,5.556,0,0,0,0,0,0,25,8.333,0
"1C_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06100274905092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4542479382118,0,0,0,0,0,0,0,18.1819173539294,30.3028319588079,0
"1C_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94139446238552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82312456985547,2.94139446238552,0,0,0,0,0,0,0,85.2940865053735,0
"1C_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778,2.778,0,0,0,0,0,0,0,94.444,0
"1C_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2858612248257,2.85737795972105,0,0,0,0,0,0,11.4284832651046,71.4282775503487,0
"1C_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94139446238552,0,0,0,0,0,0,0,0,0,0,0,23.529038064482,0,0,0,0,0,0,0,0,0,0,0,20.5876436020965,5.88278892477103,0,0,0,0,0,0,29.411826989253,17.647307957012,0
